geo_code,cluster_id,membership_prob
BE001C,0,
BE002C,0,
BG001C,0,
CH002C,0,
CZ001C,0,
DE001C,2,
DE002C,0,
DE003C,0,
DE004C,0,
DE005C,0,
DE006C,0,
DE007C,0,
DE008C,0,
DE009C,0,
DE010C,0,
DE011C,0,
DE012C,0,
DE013C,0,
DE014C,0,
DE080C,0,
ES001C,2,
ES002C,2,
ES003C,0,
ES004C,0,
ES005C,0,
ES006C,0,
ES019C,0,
FI001C,0,
FR001C,1,
FR002C,0,
FR003C,0,
FR004C,0,
FR005C,0,
FR006C,0,
FR007C,0,
HR001C,0,
HU001C,0,
IE001C,0,
IT001C,2,
IT002C,2,
IT003C,0,
IT004C,0,
IT005C,0,
IT006C,0,
LT001C,0,
LV001C,0,
NL001C,0,
NL017C,0,
NL037C,0,
NO001C,0,
PL001C,0,
PL002C,0,
PL003C,0,
PL004C,0,
PL005C,0,
PT001C,0,
PT002C,0,
RO001C,0,
SE001C,0,
SE002C,0,
UK001C,2,
UK002C,0,
UK003C,0,
UK004C,0,
UK005C,0,
UK007C,0,
UK008C,0,
UK010C,0,
