geo_code,cluster_id,membership_prob
BE001C,6,1.0
BE002C,6,1.0
BG001C,4,1.0
CH002C,3,1.0
CZ001C,0,1.0
DE001C,0,1.0
DE002C,0,1.0
DE003C,0,1.0
DE004C,0,1.0
DE005C,0,1.0
DE006C,0,1.0
DE007C,0,1.0
DE008C,0,1.0
DE009C,0,1.0
DE010C,0,1.0
DE011C,0,1.0
DE012C,0,1.0
DE013C,0,1.0
DE014C,0,1.0
DE080C,0,1.0
ES001C,0,1.0
ES002C,0,1.0
ES003C,0,1.0
ES004C,0,1.0
ES005C,0,1.0
ES006C,0,1.0
ES019C,0,1.0
FI001C,4,1.0
FR001C,2,1.0
FR002C,2,1.0
FR003C,2,1.0
FR004C,2,1.0
FR005C,2,1.0
FR006C,2,1.0
FR007C,2,1.0
HR001C,0,1.0
HU001C,4,1.0
IE001C,0,1.0
IT001C,5,1.0
IT002C,5,1.0
IT003C,5,1.0
IT004C,5,1.0
IT005C,5,1.0
IT006C,5,1.0
LT001C,4,1.0
LV001C,4,1.0
NL001C,3,1.0
NL017C,3,1.0
NL037C,3,1.0
NO001C,0,1.0
PL001C,0,1.0
PL002C,0,1.0
PL003C,0,1.0
PL004C,0,1.0
PL005C,0,1.0
PT001C,1,1.0
PT002C,1,1.0
RO001C,4,1.0
SE001C,6,1.0
SE002C,6,1.0
UK001C,0,1.0
UK002C,0,1.0
UK003C,0,1.0
UK004C,0,1.0
UK005C,0,1.0
UK007C,0,1.0
UK008C,0,1.0
UK010C,0,1.0
